Unique City,No. of Charge Stations
"CLEAR SPRING, MD",1
"CLEARFIELD, UT",3
"CLEARLAKE OAKS, CA",1
"CLEARWATER BEACH, FL",5
"CLEARWATER, FL",20
"CLEARWATER, MN",1
"CLEMSON, SC",6
"CLERMONT, FL",12
"CLERMONT, KY",1
"CLEVELAND, GA",2
"CLEVELAND, OH",16
"CLEVELAND, OK",1
"CLEVELAND, TN",1
"CLIFTON FORGE, VA",1
"CLIFTON HEIGHTS, PA",1
"CLIFTON PARK, NY",15
"CLIFTON SPRINGS, NY",1
"CLIFTON, NJ",1
"CLINTON CORNERS, NY",1
"CLINTON TOWNSHIP, MI",3
"CLINTON, CT",1
"CLINTON, ME",1
"CLINTON, MO",3
"CLINTON, NC",1
"CLINTON, NJ",3
"CLINTON, NY",1
"CLINTON, TN",1
"CLINTON, UT",4
"CLINTONVILLE, WI",1
"CLIO, CA",1
"CLIVE, IA",1
"CLOQUET, MN",2
"CLOSTER, NJ",2
"CLOUDCROFT, NM",1
"CLOVERDALE, CA",2
"CLOVIS, CA",18
"CLUTE, TX",2
"CLYDE, NC",1
"COACHELLA, CA",2
"COALINGA, CA",7
"COALVILLE, UT",1
"COARSEGOLD, CA",1
"COATESVILLE, PA",1
"COBLESKILL, NY",1
"COCKEYSVILLE, MD",4
"COCOA BEACH, FL",6
"COCOA, FL",6
"COCONUT CREEK, FL",4
"COCONUT GROVE, FL",2
"CODY, WY",2
"COEUR D'ALENE, ID",5
"COEUR DALENE, ID",3
"COFFEE CREEK, CA",2
"COHASSET, MA",4
"COHOES, NY",10
"COLBY, KS",2
"COLCHESTER, VT",5
"COLD SPRING HARBOR, NY",1
"COLDWATER, MI",2
"COLEBROOK, CT",1
"COLEBROOK, NH",1
"COLEHARBOR, ND",1
"COLFAX, CA",3
"COLLEGE PARK, GA",11
"COLLEGE PARK, MD",12
"COLLEGE PLACE, WA",1
"COLLEGE POINT, NY",1
"COLLEGE STATION, TX",10
"COLLEGEDALE, TN",2
"COLLEGEVILLE, PA",2
"COLLEYVILLE, TX",2
"COLLINSVILLE, IL",1
"COLMA, CA",3
"COLONIAL BEACH, VA",1
"COLONIE, NY",3
"COLORADO SPRINGS, CO",38
"COLTON, CA",6
"COLUMBIA CITY, IN",1
"COLUMBIA, MD",47
"COLUMBIA, MO",5
"COLUMBIA, SC",33
"COLUMBIA, TN",4
"COLUMBIANA, OH",1
"COLUMBUS, GA",13
"COLUMBUS, IN",2
"COLUMBUS, MS",6
"COLUMBUS, NE",1
"COLUMBUS, OH",132
"COLUMBUS, TX",2
"COLUSA, CA",1
"COLVILLE, WA",2
"COLWICH, KS",1
"COMFORT, TX",1
"COMMERCE CHARTER TOWNSHIP, MI",2
"COMMERCE CITY, CO",2
"COMMERCE, CA",6
"COMMERCE, GA",2
"COMPTON, CA",1
"COMSTOCK PARK, MI",1
"COMSTOCK, NY",1
"CONCORD, CA",21
"CONCORD, MA",9
"CONCORD, NC",14
"CONCORD, NH",4
"CONCORDVILLE, PA",1
"CONCRETE, WA",1
"CONDON, OR",1
"CONIFER, CO",1
"CONNELL, WA",1
"CONOVER, NC",2
"CONROE, TX",10
"CONSHOHOCKEN, PA",5
"CONWAY, AR",7
"CONWAY, NH",2
"CONWAY, SC",5
"CONYERS, GA",3
"COOK, MN",3
"COOKE CITY, MT",1
"COOKEVILLE, TN",8
"COON RAPIDS, MN",1
"COOPERSBURG, PA",2
"COOPERSTOWN, NY",3
"COOS BAY, OR",3
"COPALIS CROSSING, WA",1
"COPIAGUE, NY",1
"COPLEY, OH",1
"COPPELL, TX",9
"CORAL GABLES, FL",19
"CORAL SPRINGS, FL",4
"CORALVILLE, IA",5
"CORDELE, GA",3
"CORDOVA, AK",2
"CORFU, NY",1
"CORINTH, MS",3
"CORINTH, TX",2
"CORNELIA, GA",2
"CORNELIUS, NC",3
"CORNELIUS, OR",4
"CORNING, CA",2
"CORNING, NY",4
"CORNWALL, NY",1
"CORONA DEL MAR, CA",1
"CORONA, CA",23
"CORONADO, CA",6
"CORPUS CHRISTI, TX",10
"CORSICANA, TX",1
"CORTE MADERA, CA",6
"CORTEZ, CO",1
"CORTLAND, NY",2
"CORTLANDT MANOR, NY",1
"CORTLANDT, NY",1
"CORVALLIS, OR",17
"COSTA MESA, CA",32
"COTATI, CA",3
"COTTAGE GROVE, MN",3
"COTTAGE GROVE, OR",3
"COTTEKILL, NY",1
"COTTONWOOD, AZ",1
"COUGAR, WA",1
"COULEE CITY, WA",1
"COUNCIL BLUFFS, IA",3
"COUNTRY CLUB HILLS, IL",1
"COUNTRYSIDE, IL",4
"COVENTRY, CT",2
"COVENTRY, RI",1
"COVINA, CA",5
"COVINGTON, GA",3
"COVINGTON, IN",1
"COVINGTON, KY",2
"COVINGTON, LA",4
"COVINGTON, WA",3
"COXSACKIE, NY",1
"CRAFTON, PA",1
"CRAFTSBURY COMMON, VT",1
"CRAIG, CO",2
"CRANBERRY, PA",1
"CRANBURY, NJ",2
"CRANFORD, NJ",1
"CRANSTON, RI",5
"CRATER LAKE, OR",1
"CRAWFORDSVILLE, IN",2
"CREEDE, CO",1
"CREIGHTON, MO",1
"CRESCENT CITY, CA",4
"CRESTED BUTTE, CO",6
"CRESTON, CA",1
"CRESTWOOD, KY",1
"CREVE COEUR, MO",3
"CRIPPLE CREEK, CO",4
"CROFTON, MD",1
"CROSBY, MN",1
"CROSS PLAINS, WI",2
"CROSSVILLE, TN",2
"CROTON-ON-HUDSON, NY",2
"CROWN POINT, IN",1
"CROZET, VA",1
"CRYSTAL LAKE, IL",5
"CRYSTAL RIVER, FL",5
"CUERO, TX",2
"CULLMAN, AL",3
"CULLOWHEE, NC",2
"CULPEPER, VA",1
"CULVER CITY, CA",24
"CUMBERLAND, MD",4
"CUMBERLAND, ME",1
"CUMMING, GA",5
"CUMMING, IA",2
"CUPERTINO, CA",23
"CUSSETA, GA",4
"CUSTER, MT",1
"CUSTER, SD",9
"CUSTER, WA",1
"CUSTER, WI",3
"CUTCHOGUE, NY",1
"CUTLER BAY, FL",1
"CUYAHOGA FALLS, OH",4
"CYPRESS GARDENS, FL",1
"CYPRESS, CA",2
"CYPRESS, TX",1
"D'IBERVILLE, MS",1
"DACULA, GA",1
"DADE CITY, FL",3
"DAGSBORO, DE",1
"DAHLGREN, VA",1
"DAHLONEGA, GA",7
"DAKOTA CITY, NE",1
"DAKOTA, MN",1
"DALLAS, GA",2
"DALLAS, NC",1
"DALLAS, OR",1
"DALLAS, TX",134
"DALTON, GA",2
"DALTON, OH",1
"DALTON, PA",1
"DALY CITY, CA",10
"DANA POINT, CA",3
"DANBURY, CT",14
"DANBY, NY",1
"DANDRIDGE, TN",1
"DANFORTH, ME",1
"DANIA BEACH, AL",1
"DANIA BEACH, FL",8
"DANVERS, MA",8
"DANVILLE, CA",9
"DANVILLE, IL",1
"DANVILLE, KY",3
"DANVILLE, OH",1
"DANVILLE, PA",1
"DANVILLE, VA",3
"DANVILLE, VT",2
"DAPHNE, AL",3
"DARIEN CENTER, NY",1
"DARIEN, CT",6
"DARIEN, IL",1
"DARLINGTON, MD",1
"DARNESTOWN, MD",1
"DARTMOUTH, MA",1
"DATELAND, AZ",1
"DAVENPORT, FL",10
"DAVENPORT, IA",13
"DAVENPORT, WA",1
"DAVIDSON, NC",4
"DAVIE, FL",13
"DAVIS, CA",30
"DAVIS, OK",2
"DAVIS, WV",4
"DAWSONVILLE, GA",3
"DAYTON, OH",24
"DAYTON, OR",4
"DAYTON, WA",2
"DAYTONA BEACH SHORES, FL",2
"DAYTONA BEACH, FL",14
"DE FUNIAK SPRINGS, FL",1
"DE SOTO, IA",1
"DE WITT, IA",1
"DEADWOOD, SD",1
"DEARBORN HEIGHTS, MI",1
"DEARBORN, MI",1
"DEATH VALLEY, CA",2
"DEBARY, FL",1
"DECATUR, AL",3
"DECATUR, GA",20
"DECATUR, IL",3
"DECORAH, IA",2
"DEDHAM, MA",3
"DEEP RIVER, CT",1
"DEER ISLAND, OR",1
"DEER PARK, CA",1
"DEER PARK, NY",2
"DEER PARK, TX",1
"DEER PARK, WA",1
"DEERFIELD BEACH, FL",4
"DEERFIELD, IL",1
"DEFOREST, WI",1
"DEFUNIAK SPRINGS, FL",1
"DEKALB JUNCTION, NY",1
"DEKALB, IL",1
"DEL CITY, OK",1
"DEL MAR, CA",8
"DEL MONTE FOREST, CA",4
"DEL NORTE, CO",1
"DEL RIO, TX",1
"DELAND, FL",7
"DELANO, CA",3
"DELAVAN, WI",1
"DELAWARE, OH",2
"DELHI, CA",2
"DELHI, NY",1
"DELL, MT",1
"DELLROY, OH",1
"DELMAR, NY",16
"DELPHOS, OH",1
"DELRAN, NJ",1
"DELRAY BEACH, FL",13
"DELTA, CO",1
"DELTA, UT",1
"DELTAVILLE, VA",1
"DELTONA, FL",6
"DEMAREST, NJ",1
"DEMING, NM",2
"DENALI NATIONAL PARK AND PRESERVE, AK",1
"DENISON, TX",2
"DENNIS, MA",1
"DENTON, TX",13
"DENVER, CO",173
"DENVER, PA",3
"DENVILLE, NJ",3
"DEPEW, NY",2
"DEPOE BAY, OR",1
"DEPTFORD TOWNSHIP, NJ",1
"DEPTFORD, NJ",1
"DERBY LINE, VT",1
"DERBY, KS",1
"DERIDDER, LA",1
"DERRY, NH",1
"DES MOINES, IA",13
"DES MOINES, WA",4
"DES PLAINES, IL",10
"DESERT CENTER, CA",1
"DESERT HOT SPRINGS, CA",2
"DESOTO, TX",2
"DESTIN, FL",8
"DETROIT LAKES, MN",1
"DETROIT, MI",53
"DETROIT, OR",2
"DEVENS, MA",3
"DEVON, PA",3
"DEWEY BEACH, DE",1
"DEWITT, MI",1
"DEXTER, MI",1
"DFW AIRPORT, TX",7
"DIAMOND BAR, CA",13
"DICKINSON, ND",2
"DICKSON, TN",4
"DIGHTON, MA",2
"DILLSBORO, NC",1
"DINOSAUR, CO",2
"DIX HILLS, NY",1
"DIXON, CA",3
"DIXON, IL",1
"DOBBS FERRY, NY",1
"DOBSON, NC",2
"DODGE CITY, KS",1
"DOLORES, CO",1
"DORAL, FL",15
"DORSET, VT",2
"DOTHAN, AL",2
"DOUGLAS CITY, CA",1
"DOUGLAS, AK",1
"DOUGLAS, MI",1
"DOUGLAS, WY",1
"DOUGLASSVILLE, PA",1
"DOUGLASVILLE, GA",3
"DOVER, DE",6
"DOVER, ID",1
"DOVER, NH",2
"DOVER, OH",1
"DOVER, VT",2
"DOWELL, MD",1
"DOWNERS GROVE, IL",8
"DOWNEY, CA",28
"DOWNIEVILLE, CA",1
"DOWNSVILLE, NY",1
"DOWS, IA",1
"DOYLESTOWN, PA",2
"DRAKESBORO, KY",1
"DRAPER, UT",18
"DRESDEN, OH",1
"DRESHER, PA",1
"DREXEL HILL, PA",1
"DRIGGS, ID",1
"DRIPPING SPRINGS, TX",3
"DRY RIDGE, KY",1
"DRYDEN, NY",1
"DUARTE, CA",3
"DUBLIN, CA",25
"DUBLIN, GA",4
"DUBLIN, OH",19
"DUBOIS, PA",1
"DUBOIS, WY",1
"DUBUQUE, IA",7
"DUCK, NC",4
"DUCKTOWN, TN",2
"DUDLEY, MA",1
"DUDLEY, NC",1
"DULLES, VA",4
"DULUTH, GA",13
"DULUTH, MN",13
"DUMAS, TX",2
"DUNCANVILLE, TX",2
"DUNDALK, MD",1
"DUNDEE, MI",1
"DUNDEE, NY",1
"DUNDEE, OR",5
"DUNEDIN, FL",11
"DUNKIRK, MD",1
"DUNKIRK, NY",2
"DUNMORE, PA",1
"DUNN, NC",3
"DUNNELLON, FL",1
"DUNNIGAN, CA",2
"DUNSEITH, ND",1
"DUNSMUIR, CA",3
"DUNWOODY, GA",2
"DUPONT, WA",3
"DURANGO, CO",9
"DURANT, OK",3
"DURHAM, CT",1
"DURHAM, NC",42
"DURHAM, NH",3
"DURHAM, NY",1
"DUTCH FLAT, CA",1
"DWIGHT, IL",1
"DYER, IN",1
"DYERSBURG, TN",1
"E. PALO ALTO, CA",1
"EAGAN, MN",6
"EAGLE PASS, TX",1
"EAGLE, CO",6
"EAGLE, ID",1
"EAGLEVILLE, MO",1
"EAGLEVILLE, PA",1
"EAGLEVILLE, TN",1
"EARLY, IA",1
"EASLEY, SC",1
"EAST ALTON, IL",1
"EAST AURORA, NY",2
"EAST BOOTHBAY, ME",1
"EAST BROOKFIELD, MA",1
"EAST BRUNSWICK, NJ",8
"EAST ELLIJAY, GA",1
"EAST ELMHURST, NY",2
"EAST GLACIER PARK, MT",1
"EAST GRANBY, CT",1
"EAST GREENBUSH, NY",1
"EAST GREENWICH, RI",3
"EAST HADDAM, CT",1
"EAST HAMPTON, CT",1
"EAST HAMPTON, NY",5
"EAST HANOVER, NJ",1
"EAST HARTFORD, CT",5
"EAST HAVEN, CT",1
"EAST LANSING, MI",12
"EAST LIBERTY, OH",1
"EAST LOS ANGELES, CA",1
"EAST NORRITON, PA",3
"EAST NORWICH, NY",1
"EAST PALO ALTO, CA",2
"EAST PEORIA, IL",3
"EAST PEORRIA, IL",2
"EAST PETERSBURG, PA",1
"EAST POINT, GA",2
"EAST PROVIDENCE, RI",7
"EAST ROCHESTER, NY",2
"EAST RUTHERFORD, NJ",1
"EAST STROUDSBURG, PA",1
"EAST SYRACUSE, NY",3
"EAST TAWAS, MI",1
"EAST TROY, WI",1
"EAST WENATCHEE, WA",2
"EAST WINDSOR, NJ",1
"EAST YORK, PA",1
"EASTHAM, MA",2
"EASTHAMPTON, MA",4
"EASTLAND, TX",1
"EASTON, CT",1
"EASTON, MA",2
"EASTON, MD",1
"EASTON, PA",6
"EASTPOINT, FL",2
"EASTPOINTE, MI",1
"EASTPORT, ME",1
"EASTSOUND, WA",2
"EATONTON, GA",1
"EATONTOWN, NJ",3
"EAU CLAIRE, WI",5
"EDEN PRAIRIE, MN",5
"EDENTON, NC",1
"EDGARTOWN, MA",2
"EDGEWATER, CO",1
"EDGEWATER, NJ",5
"EDGEWOOD, MD",1
"EDINA, MN",5
"EDINBURG, TX",1
"EDINBURGH, IN",1
"EDISON, NJ",3
"EDMOND, OK",15
"EDMONDS, WA",13
"EDMONSTON, MD",1
"EDWARDS, CO",7
"EDWARDSVILLE, IL",2
"EDWARDSVILLE, KS",1
"EFFINGHAM, IL",3
"EGG HARBOR TOWNSHIP, NJ",5
"EGG HARBOR, WI",2
"EHRENBERG, AZ",1
"EL CAJON, CA",14
"EL CENTRO, CA",3
"EL CERRITO, CA",3
"EL DORADO HILLS, CA",7
"EL DORADO OCL, KS",2
"EL DORADO, AR",1
"EL DORADO, KS",1
"EL JEBEL, CO",3
"EL MONTE, CA",13
"EL PASO, TX",20
"EL PRADO, NM",1
"EL RENO, OK",3
"EL SEGUNDO, CA",28
"ELBERTON, GA",2
"ELDERSBERG, MD",1
"ELEELE, HI",1
"ELGIN, IL",6
"ELGIN, TX",1
"ELGIN,, TX",1
"ELIZABETH CITY, NC",2
"ELIZABETH, NJ",5
"ELIZABETHTON, TN",1
"ELIZABETHTOWN, KY",4
"ELIZABETHTOWN, NY",2
"ELIZABETHTOWN, PA",2
"ELK CITY, OK",3
"ELK GROVE VILLAGE, IL",6
"ELK GROVE, CA",16
"ELK HORN, IA",2
"ELK RIVER, MN",3
"ELK, CA",2
"ELKHART, IN",2
"ELKHORN, NE",1
"ELKHORN, WI",2
"ELKIN, NC",6
"ELKINS PARK, PA",1
"ELKO, NV",4
"ELKRIDGE, MD",7
"ELKTON, MD",1
"ELKTON, OR",1
"ELLENSBURG, WA",4
"ELLENTON, FL",1
"ELLENVILLE, NY",1
"ELLENWOOD, GA",3
"ELLICOTT CITY, MD",5
"ELLICOTTVILLE, NY",2
"ELLINGTON, CT",2
"ELLIOTT CITY, MD",1
"ELLISON BAY, WI",1
"ELLSWORTH, ME",1
"ELMA, NY",1
"ELMER, NJ",1
"ELMHURST, IL",3
"ELMHURST, NY",1
"ELMIRA, NY",3
"ELMSFORD, NY",1
"ELMWOOD PARK, IL",1
"ELON, NC",1
"ELVERSON, PA",1
"ELY, MN",1
"ELY, NV",1
"ELYRIA, OH",1
"EMERALD ISLE, NC",1
"EMERYVILLE, CA",16
"EMIGRANT GAP, CA",1
"EMMETSBURG, IA",1
"EMMITSBURG, MD",1
"EMPORIA, KS",2
"EMPORIA, VA",2
"ENCINAL, TX",2
"ENCINITAS, CA",5
"ENCINO, CA",5
"ENDICOTT, NY",1
"ENFIELD, CT",3
"ENFIELD, NC",1
"ENGLEWOOD, CO",12
"ENGLEWOOD, FL",3
"ENGLEWOOD, OH",1
"ENID, OK",3
"ENNIS, TX",1
"ENTERPRISE, AL",1
"ENTERPRISE, OR",1
"ENTIAT, WA",1
"EPHRAIM, WI",3
"EPHRATA, PA",6
"EPHRATA, WA",1
"ERICK, OK",1
"ERIE, CO",2
"ERIE, PA",8
"ERLANGER, KY",1
"ERVING, MA",1
"ERWIN, TN",1
"ESCALANTE, UT",2
"ESCANABA, MI",1
"ESCONDIDO, CA",29
"ESSEX JUNCTION, VT",2
"ESSEX, CA",1
"ESSEX, CT",1
"ESSEX, MD",1
"ESSEX, VT",2
"ESTACADA, OR",2
"ESTES PARK, CO",10
"ESTHERVILLE, IA",1
"ETLAN, VA",1
"ETOWAH, TN",1
"EUGENE, OR",20
"EULESS, TX",1
"EUNICE, LA",2
"EUREKA SPRINGS, AR",3
"EUREKA, CA",12
"EUSTIS, FL",3
"EVANS, GA",2
"EVANSDALE, IA",1
"EVANSTON, IL",16
"EVANSTON, WY",1
"EVANSVILLE, IN",6
"EVANSVILLE, WI",1
"EVANSVILLE, WY",1
"EVART, MI",2
"EVERETT, WA",15
"EVERGREEN PARK, IL",2
"EVERGREEN, CO",2
"EVERGREEN, NC",1
"EVERSON, WA",1
"EVESHAM TOWNSHIP, NJ",2
"EWA BEACH, HI",2
"EWING TOWNSHIP, NJ",1
"EWING, NJ",1
"EXCELSIOR, MN",1
"EXETER, CA",1
"EXETER, NH",3
"EXTON, PA",9
"FAIR HAVEN, NY",1
"FAIR HAVEN, VT",1
"FAIR LAWN, NJ",1
"FAIR OAKS, CA",2
"FAIR OAKS, IN",2
"FAIRBORN, OH",3
"FAIRBURN, GA",2
"FAIRFAX, CA",3
"FAIRFAX, OK",1
"FAIRFAX, VA",24
"FAIRFIELD, CA",22
"FAIRFIELD, CT",22
"FAIRFIELD, IA",2
"FAIRFIELD, ME",1
"FAIRFIELD, NJ",1
"FAIRFIELD, OH",1
"FAIRFIELD, PA",2
"FAIRLEE, VT",1
"FAIRLESS HILLS, PA",1
"FAIRMOUNT, IN",1
"FAIRPLAY, CO",1
"FAIRPORT, NY",8
"FAIRVIEW, TX",1
"FALCON HEIGHTS, MN",1
"FALL RIVER, MA",3
"FALLBROOK, CA",3
"FALLON, NV",2
"FALLS CHURCH, VA",13
"FALLS CITY, OR",1
"FALLS CREEK, PA",1
"FALLSTON, MD",1
"FALMOUTH, MA",4
"FALMOUTH, ME",3
"FALMOUTH, VA",1
"FANCY GAP, VA",1
"FANWOOD, NJ",1
"FARGO, ND",12
"FARMERS BRANCH, TX",4
"FARMINGDALE, NY",4
"FARMINGTON HILLS, MI",4
"FARMINGTON, CT",1
"FARMINGTON, ME",1
"FARMINGTON, MN",1
"FARMINGTON, NM",6
"FARMINGTON, NY",1
"FARMINGTON, PA",1
"FARMINGTON, UT",4
"FARMVILLE, VA",3
"FARR WEST, UT",1
"FAYETTEVILLE, AR",7
"FAYETTEVILLE, GA",6
"FAYETTEVILLE, NC",12
"FAYETTEVILLE, NY",3
"FAYETTEVILLE, PA",1
"FAYSTON, VT",1
"FEASTERVILLE, PA",2
"FEASTERVILLE-TREVOSE, PA",3
"FEDERAL HEIGHTS, CO",2
"FEDERAL WAY, WA",6
"FEDERALSBURG, MD",1
"FELTON, CA",2
"FENNIMORE, WI",1
"FENTON, MI",1
"FENTON, MO",2
"FERGUS FALLS, MN",2
"FERNANDINA BEACH, FL",8
"FERNDALE, CA",5
"FERNDALE, MI",3
"FERNLEY, NV",1
"FESTUS, MO",2
"FIFE, WA",3
"FILLMORE, CA",1
"FILLMORE, UT",3
"FINCASTLE, VA",1
"FINDLAY, OH",3
"FINKSBURG, MD",2
"FIREBAUGH, CA",4
"FIRESTONE, CO",1
"FISH CAMP, CA",2
"FISH CREEK, WI",1
"FISHERS, IN",4
"FISHKILL, NY",2
"FITCHBURG, MA",2
"FITCHBURG, WI",5
"FLAGLER BEACH, FL",1
"FLAGLER, CO",1
"FLAGSTAFF, AZ",18
"FLANDERS, NJ",1
"FLAT ROCK, NC",4
"FLATONIA, TX",1
"FLEMING ISLAND, FL",2
"FLEMINGTON, GA",1
"FLEMINGTON, NJ",4
"FLETCHER, NC",3
"FLINT, MI",1
"FLINTSTONE, MD",1
"FLORENCE, AL",4
"FLORENCE, AZ",1
"FLORENCE, KY",3
"FLORENCE, OR",4
"FLORENCE, SC",9
"FLORESVILLE, TX",1
"FLORHAM PARK, NJ",1
"FLORIDA CITY, FL",3
"FLORISSANT, MO",2
"FLOSSMOOR, IL",1
"FLOWER MOUND, TX",1
"FLOWERY BRANCH, GA",1
"FLOYD, VA",3
"FLUSHING, NY",11
"FOGELSVILLE, PA",1
"FOLEY, AL",5
"FOLSOM, CA",19
"FOLSOM, LA",1
"FOND DU LAC, WI",2
"FONTANA, CA",10
"FONTANA-ON-GENEVA LAKE, WI",1
"FOOTHILL RANCH, CA",2
"FOREST CITY, NC",2
"FOREST GROVE, OR",5
"FOREST HEIGHTS, MD",1
"FOREST HILL, MD",1
"FOREST HILLS, NY",5
"FOREST LAKE, MN",1
"FOREST PARK, GA",1
"FOREST PARK, IL",1
"FOREST, VA",1
"FORESTBURGH, NY",1
"FORESTVILLE, CA",1
"FORKED RIVER, NJ",1
"FORKS, WA",4
"FORREST CITY, AR",1
"FORSYTH, GA",4
"FORT ATKINSON, WI",1
"FORT BENNING, GA",4
"FORT BRAGG, CA",5
"FORT COLLINS, CO",49
"FORT DAVIS, TX",1
"FORT DODGE, IA",3
"FORT IRWIN, CA",3
"FORT KLAMATH, OR",1
"FORT LAUDERDALE, FL",51
"FORT LEE, NJ",2
"FORT LOUDON, PA",1
"FORT LUPTON, CO",2
"FORT MEYERS, FL",2
"FORT MILL, SC",1
"FORT MONROE, VA",1
"FORT MORGAN, CO",1
"FORT MYERS BEACH, FL",2
"FORT MYERS, FL",22
"FORT PIERCE, FL",7
"FORT PLAIN, NY",1
"FORT SCOTT, KS",1
"FORT SMITH, AR",1
"FORT STEWART, GA",1
"FORT STOCKTON, TX",2
"FORT WALTON BEACH, FL",7
"FORT WASHINGTON, MD",2
"FORT WASHINGTON, PA",3
"FORT WAYNE, IN",16
"FORT WORTH, TX",47
"FORTUNA, CA",3
"FOSSIL, OR",1
"FOSTER CITY, CA",4
"FOUNTAIN VALLEY, CA",8
"FOUNTAIN, CO",1
"FOUR CORNERS, FL",1
"FOWLER, CA",3
"FOX LAKE, IL",1
"FOX LAKE, WI",1
"FOXBORO, MA",1
"FOXBOROUGH, MA",8
"FOXFIELD, CO",1
"FRACKVILLE, PA",1
"FRAMINGHAM, MA",12
"FRANKENMUTH, MI",1
"FRANKFORT, IL",1
"FRANKFORT, KY",5
"FRANKFORT, MI",3
"FRANKFORT, NY",1
"FRANKLIN LAKES, NJ",3
"FRANKLIN PARK, IL",1
"FRANKLIN PARK, PA",1
"FRANKLIN, KY",1
"FRANKLIN, MA",5
"FRANKLIN, NC",3
"FRANKLIN, TN",13
"FRANKLIN, WI",2
"FRASER, CO",2
"FRAZER, PA",2
"FREDERIC, WI",1
"FREDERICK, CO",3
"FREDERICK, MD",20
"FREDERICK, OK",1
"FREDERICKSBURG, TX",6
"FREDERICKSBURG, VA",11
"FREDONIA, NY",1
"FREEHOLD, NJ",3
"FREELAND, WA",2
"FREEPORT, ME",5
"FREEPORT, NY",3
"FREMONT, CA",57
"FREMONT, MI",1
"FREMONT, NE",2
"FREMONT, OH",1
"FRENCH LICK, IN",1
"FRESNO, CA",61
"FRIDAY HARBOR, WA",7
"FRIDLEY, MN",2
"FRIENDSVILLE, TN",1
"FRIENDSWOOD, TX",4
"FRISCO, CO",6
"FRISCO, TX",22
"FRONT ROYAL, VA",3
"FROSTBURG, MD",2
"FRYEBURG, ME",2
"FT. LAUDERDALE, FL",2
"FULLERTON, CA",20
"FULTON, CA",3
"FULTON, MD",6
"FULTON, MO",1
"FULTONVILLE, NY",2
"FUQUAY VARINA, NC",3
"GADSDEN, AL",2
"GAHANNA, OH",4
"GAINESVILLE, FL",23
"GAINESVILLE, GA",6
"GAITHERSBURG, AL",1
"GAITHERSBURG, MD",18
"GALENA, IL",8
"GALESBURG, IL",2
"GALESTOWN, MD",1
"GALLATIN, TN",4
"GALLIPOLIS, OH",1
"GALLOWAY, NJ",1
"GALLUP, NM",2
"GALT, CA",2
"GALVESTON, TX",11
"GAMBIER, OH",3
"GAMBRILLS, MD",1
"GANADO, TX",1
"GARBERVILLE, CA",3
"GARDEN CITY, GA",1
"GARDEN CITY, ID",1
"GARDEN CITY, NY",3
"GARDEN CITY, UT",1
"GARDEN GROVE, CA",11
"GARDENA, CA",8
"GARDINER, MT",1
"GARDINER, NY",2
"GARDNER, KS",2
"GARDNER, MA",2
"GARDNERVILLE, NV",5
"GARFIELD HEIGHTS, OH",1
"GARLAND, TX",17
"GARNER, NC",1
"GARRISON, NY",1
"GARY, IN",1
"GASTON, OR",1
"GASTONIA, NC",8
"GATEWAY, CO",1
"GATLINBURG, TN",3
"GAVIOTA, CA",1
"GAYLORD, MI",2
"GENESEO, IL",1
"GENESEO, NY",1
"GENEVA, IL",8
"GENEVA, NY",6
"GENEVA, OH",2
"GENOA, OH",2
"GEORGE WEST, TX",1
"GEORGETOWN, DE",1
"GEORGETOWN, KY",1
"GEORGETOWN, MD",1
"GEORGETOWN, SC",1
"GEORGETOWN, TX",1
"GERMANTOWN, MD",6
"GERMANTOWN, NY",1
"GERMANTOWN, TN",2
"GETTYSBURG, PA",8
"GEYSERVILLE, CA",7
"GHENT, NY",1
"GIBSONVILLE, NC",1
"GIDDINGS, TX",1
"GIG HARBOR, WA",7
"GILA BEND, AZ",2
"GILBERT, AZ",9
"GILBOA, NY",1
"GILLETTE, WY",1
"GILMAN, IL",1
"GILROY, CA",7
"GIRARD, OH",1
"GIRDWOOD, AK",1
"GLADSTONE, MO",5
"GLADSTONE, OR",4
"GLASSBORO, NJ",1
"GLASTONBURY, CT",3
"GLEN ALLEN, VA",8
"GLEN ARBOR, MI",2
"GLEN BURNIE, MD",11
"GLEN COVE, NY",1
"GLEN ELLEN, CA",2
"GLEN ELLYN, IL",4
"GLEN FALLS, NY",1
"GLEN HEAD, NY",1
"GLEN MILLS, PA",2
"GLEN RIDGE, NJ",1
"GLEN ROCK, NJ",1
"GLEN, NH",1
"GLENCOE, IL",1
"GLENDALE HEIGHTS, IL",1
"GLENDALE, AZ",10
"GLENDALE, CA",29
"GLENDALE, CO",1
"GLENDALE, NY",2
"GLENDALE, WI",3
"GLENDIVE, MT",1
"GLENDORA, CA",4
"GLENEDEN BEACH, OR",1
"GLENELG, MD",1
"GLENMONT, NY",3
"GLENS FALLS, NY",13
"GLENVIEW, IL",4
"GLENWOOD SPRINGS, CO",11
"GLENWOOD, NY",1
"GLOBE, AZ",1
"GLOCESTER, RI",1
"GLOUCESTER, MA",4
"GLOVERSVILLE, NY",1
"GLYNCO, GA",10
"GODFREY, IL",2
"GOLD BAR, WA",1
"GOLDEN VALLEY, MN",5
"GOLDEN, CO",23
"GOLDSBORO, NC",3
"GOLDSBY, OK",2
"GOLETA, CA",13
"GONZALES, CA",1
"GONZALES, LA",2
"GONZALES, TX",1
"GOOCHLAND, VA",1
"GOODLAND, KS",1
"GOODYEAR, AZ",9
"GORHAM, NH",4
